id,email,first_name,last_name,registration_date,total_spent,risk_score,address,phone,date_of_birth,preferred_payment,loyalty_tier
1,ashleyterry@example.com,Calvin,Stout,2024-12-07,3686.73,0.26,"515 Erica Spurs Apt. 450, New Clinton, IL 45513",272.395.4503,1958-09-20,credit_card,silver
2,madisonchristensen@example.net,Stephanie,Green,2024-08-11,2298.81,0.19,"86625 Heather Pine Suite 738, New Jennifer, MI 46187",001-753-411-1235x90426,1962-11-07,google_pay,bronze
3,yatesmadison@example.net,Whitney,Taylor,2024-12-06,2871.43,0.27,"706 Thomas Plains, South Stanleybury, NV 33292",793-751-1745,1968-09-10,bank_transfer,gold
4,maria56@example.net,Shelley,Collins,2023-08-05,1494.22,0.25,"9319 Allen Turnpike, New Carla, CA 57625",001-926-841-2608x4818,1991-05-04,paypal,gold
5,jennifer98@example.org,Gregory,Bowen,2025-06-02,210.45,0.78,"420 Mike Via, South Kenneth, AZ 89567",(267)631-2343,1953-07-16,apple_pay,none
6,david55@example.com,David,Day,2023-08-20,4159.34,0.07,"436 Walker Underpass, North Ginaburgh, TN 77211",(572)399-1154x9044,1974-11-25,credit_card,bronze
7,lthomas@example.org,Annette,Fleming,2024-01-23,1909.54,0.18,"92219 Randy Club Suite 737, Stricklandville, WI 04027",+1-379-226-5173x28162,1967-01-14,google_pay,gold
8,wschneider@example.net,Ricardo,Juarez,2023-11-18,27447.23,0.05,"789 Paige Summit, Danaton, GA 78416",+100149185304450020,1964-05-04,apple_pay,platinum
9,nelsoncassandra@example.net,Amy,Moore,2023-07-07,4136.68,0.09,"13827 Charles Well, Craigbury, KY 49691",546.875.4182,1948-03-17,google_pay,bronze
10,amandapayne@example.com,Elizabeth,Miller,2023-06-05,4330.03,0.08,"83168 Jennifer Route, Walkertown, IA 70948",,1980-01-14,google_pay,bronze
11,vmooney@example.com,Henry,Ellis,2025-06-02,738.66,0.93,"107 Stephen Mews Apt. 485, Port Destinyside, MP 80016",+1-207-789-4767x200,1964-08-14,google_pay,bronze
12,hubbardnicole@example.net,Vincent,Brady,2025-06-02,306.61,0.73,"276 Miller Mill, Navarroville, UT 99492",001-719-744-5456x97296,1986-12-28,paypal,bronze
13,brendamorales@example.org,Kenneth,Frazier,2025-02-09,3940.58,0.16,"23461 Phillips Lock, Thompsonchester, IL 95858",001-566-978-3055x7371,1958-03-07,apple_pay,silver
14,gbutler@example.net,Joshua,Robinson,2025-06-02,4.17,0.79,"6568 Watkins Orchard, East Nicholasside, WI 30821",521-852-4831x9686,1944-08-10,google_pay,none
15,richardperez@example.org,Kendra,Shah,2024-10-13,2316.63,0.13,"62911 Jackson Passage Apt. 471, North Christopher, DE 59004",001-659-322-9127x06593,1988-04-20,paypal,silver
16,ccook@example.net,Melissa,Gibbs,2024-09-20,2573.34,0.17,"USNS Rodriguez, FPO AE 14968",+1 784 497 4997x990,1962-01-03,credit_card,silver
17,zachary18@example.net,Robert,Barnes,2025-05-24,4019.08,0.22,"Unit 3129 Box 7557, DPO AE 98129",+1-510-361-7356,1999-01-09,credit_card,silver
18,jrobinson@example.net,Samantha,Lang,2025-06-02,0,0.98,"07167 Lopez Springs, North Paul, AS 91078",819-438-9990,1956-09-02,paypal,none
19,haustin@example.com,Patricia,Rodriguez,2023-11-26,3565.32,0.19,"356 Erin Radial Apt. 274, New Crystal, FL 42726",690-704-9037x295,1993-05-20,credit_card,gold
20,bassjackie@example.org,Adrienne,Doyle,2025-01-13,1042.89,0.2,"4138 Flores Court Suite 630, North Patricia, AS 62143",881-547-6212x36018,1982-01-30,apple_pay,gold
21,curtisroy@example.net,Heather,Martinez,2024-12-19,2562.93,0.05,"1668 Carl Ford, New Thomas, NE 59853",959-987-2408x9921,1946-03-27,paypal,gold
22,theresa24@example.org,Lindsey,Molina,2024-09-24,1301.9,0.23,"81444 Kenneth Plaza, Erictown, GA 91350",+1-822-741-9830x6323,1962-01-11,apple_pay,gold
23,scott51@example.org,Lydia,Jones,2023-06-08,2985.58,0.17,"70542 Roberson Course, New Reginaburgh, MS 10474",+1-786-515-6409x94147,1986-06-19,google_pay,bronze
24,patrick94@example.org,Krista,Torres,2024-09-14,1655.17,0.11,"86194 Mary Road, New Erica, MP 81911",001-499-420-2376x6696,1994-05-20,paypal,bronze
25,kellygray@example.net,Shirley,Spencer,2023-12-24,1352.22,0.07,"1866 Dennis Parkways Suite 542, Johnside, HI 50795",(583)546-3348,2003-11-17,bank_transfer,silver
26,vadams@example.org,Kathleen,Yates,2024-02-08,989.14,0.23,"645 Marcus Court Suite 650, Stephenside, NC 26900",001-952-288-9594,1944-09-15,bank_transfer,silver
27,andreaherring@example.org,Alexandra,Flynn,2024-02-06,1363.88,0.29,"0690 Meghan Road, Odonnellland, AK 99947",+16499668667989,1957-12-16,paypal,bronze
28,zgarcia@example.com,Ricky,Zimmerman,2025-04-27,2515.6,0.24,"234 Tara Land Suite 985, West Mariotown, SD 44426",(866)950-5188x601,1993-08-28,google_pay,silver
29,toddcollins@example.org,Monica,Duarte,2024-12-31,2094.67,0.17,"USNS Rivera, FPO AP 32052",001-342-686-1789x257,1978-05-16,google_pay,silver
30,karlabaxter@example.com,Dylan,Oneill,2024-04-10,4821.03,0.22,"12789 Burke Corner, North Katherine, SD 66523",716.538.4936x80635,1998-07-30,google_pay,bronze
31,ybell@example.com,Robert,Woods,2025-06-02,813.49,0.63,"94689 Burgess Stravenue Apt. 318, Lake Sydneyborough, IN 49100",5366562036,1972-02-15,paypal,none
32,westjeffrey@example.org,Debra,Everett,2025-02-06,3931.92,0.18,"989 Cervantes Greens, Burchstad, RI 36233",844.957.7626x263,1987-07-10,apple_pay,silver
33,devon53@example.com,Kenneth,Jones,2025-02-04,4809.46,0.21,"37676 Campbell Greens Apt. 076, Gomezport, PA 58847",,1966-07-08,apple_pay,gold
34,deniseclark@example.net,David,Jenkins,2024-12-04,1439.18,0.11,"44538 Pena Manors, Johnburgh, PW 26752",001-800-709-4065,1998-11-28,google_pay,gold
35,hensleybenjamin@example.com,William,Duran,2025-05-21,4219.35,0.12,"1181 Shaw Summit Suite 466, West Jessicafort, NV 56213",8913103495,2002-08-03,apple_pay,bronze
36,rcaldwell@example.net,Adam,White,2024-03-27,3522.3,0.26,"Unit 9508 Box 9142, DPO AP 30997",896.766.8290x525,1987-12-29,google_pay,gold
37,shenderson@example.org,Aaron,Murphy,2024-10-29,2573.62,0.25,"47473 Andrea Villages Apt. 478, Garymouth, ME 40143",547-339-8622x14051,1996-07-23,apple_pay,gold
38,smithphyllis@example.net,Alan,Kelly,2023-12-11,1437.76,0.22,"PSC 7741, Box 3135, APO AE 66755",(838)673-5186,1986-11-26,credit_card,silver
39,rachel65@example.net,Charles,Jackson,2024-03-01,4578.69,0.08,"98852 Tracy Rapids Suite 599, Port Barbaraport, VT 89291",,1994-06-02,paypal,bronze
40,zrivera@example.net,Gilbert,Melendez,2025-05-31,2124.5,0.27,"003 Lori Way, Lopezberg, VT 80022",367-559-2383,2006-04-15,credit_card,gold
41,audrey30@example.net,Amanda,Powers,2023-08-17,2739.38,0.27,"5530 Malik Camp, North Lindsey, LA 01846",001-812-318-5273x4114,1972-10-03,apple_pay,gold
42,jensenpamela@example.com,Sarah,Lowery,2023-08-14,4154.59,0.14,"912 Mcmillan Walks, Matthewton, MT 40712",(698)345-5766x345,1987-07-16,credit_card,bronze
43,suspicious43@fake-email.net,Andrew,Bonilla,2025-01-09,2367.19,0.28,"123 Fake St, Nowhere, XX 00000",,2000-01-01,bank_transfer,silver
44,yhendrix@example.net,Tyler,Marsh,2025-04-02,1038.41,0.25,"17562 Houston Port, Blevinstown, NC 25870",+1-410-808-2242x168,1984-03-14,apple_pay,gold
45,smithashley@example.org,Nicole,Pratt,2024-11-01,4839.75,0.06,"3871 Chelsea Corners, Matthewton, MA 89222",1657722870322007,2007-02-27,paypal,silver
46,robingould@example.com,Paul,Sims,2023-06-19,4922.89,0.21,"4769 Williams Prairie Apt. 418, Ryanview, IL 05124",2608480224,1950-04-30,google_pay,bronze
47,jeffreyhansen@example.net,Christina,Lewis,2024-02-16,1049.47,0.23,"13860 Olson Radial, Elizabethmouth, MH 10939",487.465.6993x13606,1991-11-25,paypal,gold
48,david48@example.net,Jonathan,Dixon,2022-06-21,38568.8,0.02,"83951 Wells Route Apt. 953, Lake Jessica, NM 01526",001-253-782-9441x91479,1995-04-25,credit_card,gold
49,vdavenport@example.com,Teresa,Gross,2024-06-14,4960.56,0.22,"06885 Nichols Hills Suite 767, New Stacyview, MD 72808",001-329-525-8228x280,1958-03-16,credit_card,gold
